epoch,loss,alignment,uniformity,output_std,effective_rank
0,-0.562734992797367,0.7186683416366577,-1.9138579368591309,0.08287779986858368,5.168808460235596
1,-0.6998544882505368,0.6560925245285034,-2.1464457511901855,0.0849706381559372,7.02305793762207
2,-0.7055726570960803,0.5216721296310425,-2.218034505844116,0.08214738219976425,15.365340232849121
3,-0.7272935763383523,0.567072331905365,-2.506939172744751,0.08682989329099655,15.32275104522705
4,-0.7401749690373739,0.5406068563461304,-2.4694647789001465,0.08711045235395432,14.395636558532715
5,-0.7550648976594974,0.43244579434394836,-2.2016303539276123,0.08307689428329468,13.638470649719238
6,-0.7660822250904181,0.438015341758728,-2.4454634189605713,0.08558350801467896,17.098344802856445
7,-0.7711112914941249,0.4768584370613098,-2.501596689224243,0.08629775792360306,13.757773399353027
8,-0.773647043032524,0.45260193943977356,-2.5437960624694824,0.08807586878538132,14.817351341247559
9,-0.7793892539464511,0.46528947353363037,-2.58703351020813,0.08713935315608978,16.835153579711914
10,-0.7857748866081238,0.45474302768707275,-2.6256566047668457,0.08711422979831696,17.831649780273438
11,-0.7897493227934226,0.4307527542114258,-2.6618778705596924,0.08670975267887115,18.962581634521484
12,-0.7930531257238144,0.41539517045021057,-2.5936179161071777,0.08739379793405533,18.906810760498047
13,-0.7932340787007258,0.4019455313682556,-2.433793783187866,0.0862097293138504,17.06917381286621
14,-0.80040966516886,0.422169029712677,-2.7074389457702637,0.08780022710561752,21.47019386291504
15,-0.8056162684391707,0.39029353857040405,-2.685493230819702,0.08793748915195465,21.160781860351562
16,-0.8074361425179701,0.3739582300186157,-2.532761812210083,0.08703958243131638,20.267004013061523
17,-0.8132464968241178,0.37985196709632874,-2.662841796875,0.08659781515598297,23.096561431884766
18,-0.8139455180901748,0.3882417678833008,-2.710055112838745,0.08683866262435913,24.1246280670166
19,-0.8189898341129987,0.35523486137390137,-2.735156536102295,0.08773006498813629,23.237398147583008
20,-0.8211325804392496,0.36370575428009033,-2.6589949131011963,0.08806754648685455,22.82111167907715
21,-0.8222323380983793,0.36498895287513733,-2.786893844604492,0.0878978818655014,23.713340759277344
22,-0.8235473822324704,0.35351133346557617,-2.645137310028076,0.08672779053449631,24.077373504638672
23,-0.8268810794903682,0.3471197485923767,-2.692469835281372,0.08691471815109253,26.105112075805664
24,-0.8290654179377434,0.3200502097606659,-2.698608875274658,0.08676046133041382,26.20003890991211
25,-0.828815817527282,0.3669976592063904,-2.812089443206787,0.08754900097846985,26.61727523803711
26,-0.8298745846137022,0.311250776052475,-2.8279786109924316,0.08798329532146454,24.619539260864258
27,-0.8291389116874108,0.3339555263519287,-2.782289981842041,0.0864158421754837,27.904869079589844
28,-0.8282041986783345,0.36222630739212036,-3.0070345401763916,0.08777344226837158,28.654525756835938
29,-0.8296033663627429,0.32398727536201477,-2.9078197479248047,0.08774406462907791,27.00006675720215
30,-0.8313775478265224,0.33412158489227295,-2.8832881450653076,0.08732849359512329,25.95005226135254
31,-0.8311261329895411,0.33014893531799316,-2.980670213699341,0.08713438361883163,29.17597007751465
32,-0.832439767397367,0.322965145111084,-2.8981828689575195,0.08525258302688599,28.963306427001953
33,-0.8321681224382841,0.3667697310447693,-2.9713709354400635,0.08756522834300995,26.8687686920166
34,-0.8343432133014386,0.32010072469711304,-2.8527584075927734,0.08677929639816284,27.47259521484375
35,-0.8369526361807799,0.314602792263031,-3.0179948806762695,0.08708466589450836,29.290830612182617
36,-0.8355844097259717,0.3302648067474365,-3.054741144180298,0.08759231865406036,29.653091430664062
37,-0.8378461914184766,0.35662952065467834,-3.1689224243164062,0.08757402002811432,29.432207107543945
38,-0.8385774129476302,0.3196784257888794,-2.9535837173461914,0.0862068310379982,29.706022262573242
39,-0.8354908576378456,0.3140219449996948,-2.93758487701416,0.08687963336706161,29.47625160217285
40,-0.8390324702629677,0.32225579023361206,-3.0759005546569824,0.0875912606716156,29.4573974609375
41,-0.8406647835022364,0.3103107810020447,-3.08282732963562,0.08740308880805969,29.97308921813965
42,-0.8380574687933311,0.3327622413635254,-3.038809299468994,0.08770470321178436,28.181678771972656
43,-0.8403962792494358,0.3082382082939148,-3.0025339126586914,0.08749763667583466,26.86334991455078
44,-0.8414378743905288,0.32036954164505005,-3.089435338973999,0.0873948410153389,29.416271209716797
45,-0.8408268087949509,0.3332507908344269,-3.083683967590332,0.08736053109169006,30.855789184570312
46,-0.8417543903375283,0.31740033626556396,-2.968595504760742,0.08704477548599243,25.748733520507812
