epoch,loss,alignment,uniformity,output_std,effective_rank
0,-0.3698694911857064,0.895832896232605,-2.1262402534484863,0.08251909911632538,6.8008270263671875
1,-0.5941975605793488,0.7484035491943359,-2.2524666786193848,0.08704119175672531,7.448527812957764
2,-0.659866817180927,0.6297980546951294,-2.279876708984375,0.08399826288223267,12.065328598022461
3,-0.6925994087488223,0.5496921539306641,-2.273505210876465,0.08379790931940079,13.453690528869629
4,-0.7146858331484672,0.5396914482116699,-2.3984925746917725,0.08601516485214233,11.917450904846191
5,-0.7296778351832659,0.5234453678131104,-2.2940523624420166,0.08398367464542389,14.100347518920898
6,-0.7425196776023277,0.5372256636619568,-2.448500871658325,0.08648186922073364,12.295262336730957
7,-0.7521397138253236,0.4949758052825928,-2.3964977264404297,0.08464592695236206,14.831976890563965
8,-0.7603705134147253,0.4898642301559448,-2.473759174346924,0.08582967519760132,14.629250526428223
9,-0.7665278826004419,0.4570111036300659,-2.4530584812164307,0.08515492081642151,15.721402168273926
10,-0.7716048738895318,0.47944551706314087,-2.5553364753723145,0.08755061775445938,14.46147632598877
11,-0.7775742536936051,0.45562177896499634,-2.568131923675537,0.08581745624542236,17.058210372924805
12,-0.7797297548025083,0.4788112938404083,-2.6055445671081543,0.08774412423372269,15.871642112731934
13,-0.7859704855160835,0.40064385533332825,-2.6578619480133057,0.0866485983133316,18.89642906188965
14,-0.7914375335742265,0.36781585216522217,-2.6113460063934326,0.08685213327407837,18.25490379333496
15,-0.795839569813166,0.42121756076812744,-2.688326358795166,0.08757127076387405,18.799625396728516
16,-0.799072772417313,0.42236801981925964,-2.6655166149139404,0.08787785470485687,18.367136001586914
17,-0.8025866392331246,0.4170912504196167,-2.6945269107818604,0.08702921867370605,20.944095611572266
18,-0.8076007231687888,0.3971550464630127,-2.74420166015625,0.08764391392469406,21.270278930664062
19,-0.8101025755588825,0.37255874276161194,-2.6775455474853516,0.08595806360244751,23.512659072875977
20,-0.8135806612479382,0.39264097809791565,-2.7653403282165527,0.0876244604587555,21.920501708984375
21,-0.8154150204780775,0.3858361840248108,-2.7599940299987793,0.08770759403705597,24.107288360595703
22,-0.8172993546877152,0.38423940539360046,-2.7944507598876953,0.08754324913024902,23.73103904724121
23,-0.8198285637757717,0.3753499388694763,-2.8548660278320312,0.08749961107969284,25.135562896728516
24,-0.8217756396684891,0.3675934374332428,-2.807021379470825,0.08631575107574463,26.98351287841797
25,-0.8242354894295717,0.32830795645713806,-2.7902822494506836,0.08725522458553314,24.88492202758789
26,-0.8255118238620269,0.35434800386428833,-2.896418333053589,0.08723485469818115,26.298357009887695
27,-0.8275179982185363,0.3719412386417389,-2.917102098464966,0.08791644871234894,26.04214096069336
28,-0.8287438514905098,0.3761312663555145,-2.851423501968384,0.0872456505894661,26.21744728088379
29,-0.8317907938590416,0.33901557326316833,-2.86411452293396,0.0870341956615448,27.193443298339844
30,-0.8322068614837451,0.3306349813938141,-2.933044672012329,0.08738699555397034,28.975353240966797
31,-0.8347396832246047,0.3407548666000366,-2.871875524520874,0.08738471567630768,27.43193817138672
32,-0.8363443875924135,0.3227234482765198,-2.937894105911255,0.08812293410301208,28.477096557617188
33,-0.8373635362356137,0.32538002729415894,-2.9292619228363037,0.0873229056596756,27.81748390197754
34,-0.8374308372155214,0.35820966958999634,-3.015721321105957,0.08791781961917877,30.749574661254883
35,-0.8390394788521987,0.3577824831008911,-3.0213587284088135,0.08799447119235992,30.689149856567383
36,-0.8391632324610001,0.3326011300086975,-3.023993968963623,0.08788614720106125,30.110769271850586
37,-0.8405914924083612,0.3236318826675415,-2.959901809692383,0.08734581619501114,31.39484977722168
38,-0.8415414403646421,0.332964688539505,-3.0196738243103027,0.08754248172044754,31.150100708007812
39,-0.8418900098556127,0.30878162384033203,-3.0447142124176025,0.0878332108259201,32.64044952392578
40,-0.8434176075152862,0.31693464517593384,-3.0702805519104004,0.08745795488357544,33.18558883666992
41,-0.8439238780584091,0.3076419234275818,-3.077324151992798,0.08743572235107422,33.48444366455078
42,-0.8452365462596599,0.30908405780792236,-3.1264238357543945,0.0878475159406662,32.99116897583008
