epoch,loss,alignment,uniformity,output_std,effective_rank
0,3.7466872435349683,0.7333441972732544,-3.452529191970825,0.08698661625385284,29.529247283935547
1,2.426686615210313,0.6411813497543335,-3.4045660495758057,0.08560575544834137,32.9290885925293
2,1.9735238986137587,0.5929098129272461,-3.5019099712371826,0.08596345782279968,35.861900329589844
3,1.7134875517625074,0.5898213982582092,-3.5932278633117676,0.08685064315795898,36.25204849243164
4,1.5328548902120345,0.5843760371208191,-3.628343105316162,0.08693095296621323,36.831451416015625
5,1.4097789507645828,0.5471773147583008,-3.617499828338623,0.08659013360738754,38.515384674072266
6,1.3412006164208436,0.5372200608253479,-3.6033670902252197,0.08650679886341095,38.8713264465332
7,1.261453608977489,0.5236663222312927,-3.6517608165740967,0.08689413964748383,38.35807418823242
8,1.20464739830066,0.5243095755577087,-3.6474764347076416,0.08673226833343506,39.6783332824707
9,1.1504274426362453,0.5037274956703186,-3.6993632316589355,0.08719797432422638,40.004390716552734
10,1.1200385882304265,0.4984584450721741,-3.682058334350586,0.08708206564188004,37.577239990234375
11,1.0893246311407823,0.4567135274410248,-3.7231557369232178,0.08738348633050919,40.430267333984375
12,1.0587276510703258,0.4850156307220459,-3.665874481201172,0.0868600532412529,40.0584831237793
13,1.0297559964351164,0.4948139786720276,-3.727226972579956,0.08736622333526611,40.68669509887695
14,0.9891803952363821,0.47005510330200195,-3.699995994567871,0.08709363639354706,40.328086853027344
15,0.9741726050010094,0.4792371094226837,-3.7453560829162598,0.08754415810108185,40.59282684326172
16,0.9579319706329933,0.4667932689189911,-3.68115234375,0.08686274290084839,41.016422271728516
17,0.9461999040383559,0.48182567954063416,-3.7067556381225586,0.08711475133895874,42.020904541015625
18,0.9270300418902666,0.44072645902633667,-3.722794532775879,0.08719269931316376,42.96326446533203
19,0.9074427448786222,0.46146076917648315,-3.762234687805176,0.08764025568962097,42.29769515991211
20,0.8977081671739235,0.43181878328323364,-3.7522759437561035,0.08756393194198608,43.85179138183594
21,0.8868392531688397,0.47707822918891907,-3.7381603717803955,0.0873224288225174,43.953678131103516
22,0.8696379609597035,0.46984416246414185,-3.75956130027771,0.08759185671806335,44.96186828613281
23,0.8587513847228808,0.44653740525245667,-3.745944023132324,0.08735855668783188,45.486690521240234
24,0.8455648825718807,0.44272154569625854,-3.7872986793518066,0.08780300617218018,46.69734191894531
25,0.839879588286082,0.43836575746536255,-3.748232126235962,0.08740511536598206,45.69277572631836
26,0.825579690016233,0.43161171674728394,-3.7355828285217285,0.08721059560775757,46.858375549316406
27,0.8143958745858608,0.44195127487182617,-3.7395036220550537,0.08726786077022552,47.82954788208008
28,0.7998272639054519,0.4372832775115967,-3.7961645126342773,0.08785001933574677,45.651973724365234
29,0.7965132896716778,0.45322495698928833,-3.7830111980438232,0.08768989890813828,47.33353042602539
30,0.7850742685489166,0.4474397599697113,-3.7740023136138916,0.08756168186664581,46.81882095336914
31,0.7884823358975924,0.440687894821167,-3.750113010406494,0.08732882142066956,45.631874084472656
32,0.7629411841050172,0.44413691759109497,-3.7856194972991943,0.08767037838697433,49.00327682495117
33,0.7677496543297401,0.4483073651790619,-3.7567033767700195,0.08738742768764496,49.671897888183594
34,0.7619954796937796,0.4240122437477112,-3.765578031539917,0.08750904351472855,48.711204528808594
35,0.7497332285612057,0.4640771150588989,-3.777233123779297,0.08755457401275635,50.386775970458984
36,0.7423529643278856,0.401361882686615,-3.809311628341675,0.08792228996753693,50.42210388183594
37,0.7263945066011869,0.41942864656448364,-3.74550199508667,0.0872710794210434,51.284271240234375
38,0.7167897056310605,0.4255935847759247,-3.7816317081451416,0.08764711022377014,50.5284423828125
39,0.7210272960173778,0.40117311477661133,-3.76355242729187,0.08742645382881165,49.650421142578125
40,0.7128628033858079,0.4057215452194214,-3.775015354156494,0.08750656247138977,51.37904739379883
41,0.7051592741257106,0.42204999923706055,-3.7866299152374268,0.08761918544769287,52.281002044677734
42,0.6998865952858558,0.3912120461463928,-3.782207489013672,0.08757802098989487,50.92556381225586
43,0.6985464233618516,0.40341901779174805,-3.769747018814087,0.08746158331632614,49.74642562866211
44,0.6766375104586283,0.41177958250045776,-3.8011269569396973,0.08778631687164307,54.397315979003906
45,0.6800201828663166,0.4159209132194519,-3.8131792545318604,0.08787229657173157,51.712013244628906
46,0.6584521568738497,0.39005592465400696,-3.803459405899048,0.08780260384082794,53.415565490722656
47,0.670397680845016,0.4056333303451538,-3.8123996257781982,0.08787886798381805,54.57197952270508
48,0.6506527573634416,0.386202871799469,-3.8124284744262695,0.0878179520368576,53.36592102050781
49,0.638609285843678,0.4083208441734314,-3.831608295440674,0.08806079626083374,54.728736877441406
50,0.6410103163658044,0.3965231776237488,-3.820763349533081,0.08788304030895233,54.71519470214844
51,0.6381803338344281,0.4020068943500519,-3.828380823135376,0.08800103515386581,56.622314453125
52,0.6414305832141485,0.40466809272766113,-3.8141260147094727,0.08784940093755722,53.37795639038086
53,0.6272214369896131,0.3916112184524536,-3.834275722503662,0.0880185142159462,55.744415283203125
54,0.6215285936991374,0.39748162031173706,-3.8338918685913086,0.08804391324520111,55.7692756652832
55,0.6140572106226897,0.38570988178253174,-3.8261077404022217,0.08793169260025024,54.68788528442383
56,0.6073682467142741,0.3884730935096741,-3.828327178955078,0.08796381205320358,57.003177642822266
57,0.6063163311053545,0.3894484341144562,-3.8361728191375732,0.08801354467868805,57.264225006103516
58,0.6065457143844702,0.3939017355442047,-3.833357572555542,0.08798140287399292,58.26836013793945
59,0.5927516425267244,0.3711284101009369,-3.8521368503570557,0.0881764143705368,56.092620849609375
60,0.5924026680298341,0.40322422981262207,-3.8354270458221436,0.08801242709159851,56.91507339477539
61,0.5798276522220709,0.36677223443984985,-3.837041139602661,0.08798964321613312,58.80353927612305
62,0.5782714920166211,0.3837575316429138,-3.852680206298828,0.08816082775592804,57.37256622314453
63,0.5680336226255466,0.3803374767303467,-3.8472962379455566,0.08808843791484833,56.47495651245117
64,0.5685707839635702,0.38408517837524414,-3.8581738471984863,0.08818185329437256,59.26866912841797
65,0.5562971303096185,0.38812384009361267,-3.839139461517334,0.0880420058965683,56.904869079589844
66,0.554190326653994,0.3869704604148865,-3.8453705310821533,0.08807343989610672,59.973915100097656
67,0.5485066711902619,0.37835773825645447,-3.855038642883301,0.08812050521373749,59.21979904174805
68,0.5425723135471344,0.3997463881969452,-3.8602263927459717,0.08819666504859924,61.565460205078125
69,0.540625867782495,0.3675611913204193,-3.8587965965270996,0.08818161487579346,61.45564651489258
70,0.5353431351673908,0.35579973459243774,-3.8659489154815674,0.0882185623049736,57.15292739868164
71,0.5316082697648269,0.3410390615463257,-3.8643767833709717,0.08822427690029144,59.32988739013672
72,0.5316171167752681,0.3950102925300598,-3.869131088256836,0.08828660845756531,62.30242919921875
73,0.5274307286128019,0.39029520750045776,-3.861708879470825,0.0881931260228157,58.1085090637207
74,0.5234124444998227,0.3773041367530823,-3.8676891326904297,0.08825455605983734,58.90650939941406
75,0.5165295804158235,0.35236459970474243,-3.8649415969848633,0.08822477608919144,60.14411544799805
76,0.5068334628374148,0.357204794883728,-3.874854326248169,0.08828753232955933,60.47407913208008
77,0.5046639876487927,0.35317885875701904,-3.8656280040740967,0.08820190280675888,57.38564682006836
78,0.5001105559177887,0.3689741790294647,-3.869751214981079,0.08823395520448685,61.587947845458984
79,0.4971336101874327,0.3693285882472992,-3.867178201675415,0.08822143077850342,60.03597640991211
80,0.4968946757989052,0.33036941289901733,-3.8746235370635986,0.08829084038734436,59.99528503417969
81,0.4854336209786244,0.35036444664001465,-3.872695207595825,0.08827493339776993,61.73234176635742
82,0.48434465130170185,0.3403318524360657,-3.8789210319519043,0.08829991519451141,59.52308654785156
83,0.48513789497889004,0.3496531546115875,-3.876300573348999,0.08830909430980682,63.79585647583008
84,0.48142897150455377,0.3584374189376831,-3.874721050262451,0.08828174322843552,61.74055480957031
85,0.4810179814314231,0.3575602173805237,-3.8756086826324463,0.0882989764213562,61.11096954345703
86,0.47971125673025083,0.35153985023498535,-3.880974531173706,0.08832874894142151,63.43778610229492
87,0.4739642022511898,0.35548385977745056,-3.877944231033325,0.0883074402809143,62.161441802978516
88,0.47705873694175327,0.33828264474868774,-3.8796792030334473,0.08829884231090546,60.617305755615234
89,0.47254819243382185,0.3449386954307556,-3.876235008239746,0.08829227834939957,61.14950180053711
90,0.46931341748971206,0.34561994671821594,-3.8755781650543213,0.08826834708452225,63.078956604003906
91,0.47286860958123816,0.31716975569725037,-3.883171558380127,0.0883280336856842,60.1151008605957
92,0.4698219496470231,0.3442707061767578,-3.8778862953186035,0.08829990029335022,61.393287658691406
93,0.4720225827816205,0.35881906747817993,-3.877465009689331,0.08830800652503967,60.85066223144531
94,0.46887535544542164,0.3617681562900543,-3.875537395477295,0.08827987313270569,62.16539001464844
95,0.46508768598238626,0.34515196084976196,-3.8801429271698,0.08832082897424698,59.35306167602539
96,0.465510975703215,0.3355957567691803,-3.879671335220337,0.08829443901777267,60.330528259277344
97,0.4633769146907024,0.33987486362457275,-3.8831894397735596,0.08833697438240051,62.84376525878906
98,0.46843588994099544,0.3427335321903229,-3.878800630569458,0.08828996121883392,62.11542892456055
99,0.46428462801835474,0.34091493487358093,-3.8840882778167725,0.0883292481303215,61.488037109375
